,Left,Right,Conf,Lift,ChiSquared,AllConf,Kulc,IR
942,人物 演员 ,中国大学 组织机构 ,0.0,0.0,206.36357341826073,0.0,0.0,0.06628652886671414
943,人物 演员 ,体育人物 运动员 ,0.0,0.0,190.66701530227655,0.0,0.0,0.029629629629629613
944,人物 演员 ,人物 体育人物 ,0.00916030534351145,0.16787312450644906,177.35901001848836,0.008620689655172414,0.008890497499341933,0.03048327137546466
945,人物 演员 ,电子游戏 游戏 ,0.0,0.0,157.24459468170284,0.0,0.0,0.06504065040650411
946,人物 演员 ,美术家 画家 ,0.004580152671755725,0.09317360020453631,164.39378932597663,0.004580152671755725,0.004682420833485518,0.02189210320562939
947,人物 演员 ,游戏作品 游戏 ,0.0,0.0,149.34023815325466,0.0,0.0,0.09166666666666669
948,人物 演员 ,电子游戏 游戏作品 ,0.0,0.0,142.37841207096488,0.0,0.0,0.11679454390451835
949,人物 演员 ,出版物 期刊 ,0.0,0.0,168.33722327257465,0.0,0.0,0.03068450039339103
950,人物 演员 ,人物 运动员 ,0.0015267175572519084,0.032240533845609425,162.670695730633,0.0015267175572519084,0.0015911733481623778,0.04054054054054052
951,人物 演员 ,学校 外国大学 ,0.0,0.0,149.86164779496988,0.0,0.0,0.08985024958402667
952,人物 演员 ,人物 美术家 ,0.010687022900763359,0.24083564858522377,139.86308254376877,0.010687022900763359,0.01152725703342055,0.07331136738056013
953,人物 演员 ,音乐 单曲 ,0.0,0.0,138.82497428106734,0.0,0.0,0.13028472821397755
954,人物 演员 ,flash游戏 游戏作品 ,0.0,0.0,135.06026498700305,0.0,0.0,0.1451048951048951
955,人物 演员 ,flash游戏 游戏 ,0.0,0.0,135.06026498700305,0.0,0.0,0.1451048951048951
956,人物 演员 ,组织机构 外国大学 ,0.0,0.0,141.1049172608591,0.0,0.0,0.12157534246575347
957,人物 演员 ,音乐作品 单曲 ,0.0,0.0,134.56162073876268,0.0,0.0,0.14711033274956214
958,人物 演员 ,电子游戏 flash游戏 ,0.0,0.0,130.8466014978708,0.0,0.0,0.16237799467613132
959,人物 演员 ,医生 中医 ,0.0,0.0,113.38737157843484,0.0,0.0,0.24288425047438328
960,人物 演员 ,足球运动员 体育人物 ,0.0,0.0,132.82250004207958,0.0,0.0,0.15418502202643175
961,人物 演员 ,人物 学者 ,0.00916030534351145,0.26983763200112826,108.99281357658509,0.00916030534351145,0.011508559138268426,0.20517560073937155
962,人物 演员 ,学者 科学家 ,0.0015267175572519084,0.04476616653505309,119.5565507523396,0.0015267175572519084,0.001912784065982276,0.20202020202020204
963,人物 演员 ,人物 官员 ,0.0061068702290076335,0.17906466614021235,113.20462940756076,0.0061068702290076335,0.007651136263929104,0.20257826887661146
964,人物 体育人物 ,学校 组织机构 ,0.0,0.0,405.85644634892947,0.0,0.0,0.28651973347001536
965,人物 体育人物 ,公司 组织 ,0.0,0.0,251.5044321467713,0.0,0.0,0.09844559585492227
966,人物 体育人物 ,学校 中国大学 ,0.0,0.0,275.41778559210434,0.0,0.0,0.13754646840148696
967,人物 体育人物 ,人物 政治人物 ,0.011494252873563218,0.16988319281842276,237.84530934932127,0.009269988412514484,0.010382120643038851,0.1076724693745971
968,人物 体育人物 ,人物 科学家 ,0.0014367816091954023,0.023405043965884234,227.7665753786779,0.0012771392081736908,0.0013569604086845466,0.05886332882273344
969,人物 体育人物 ,人物 画家 ,0.0028735632183908046,0.052211251923895606,200.1630340017768,0.002849002849002849,0.0028612830336968266,0.004297994269340969
970,人物 体育人物 ,音乐 音乐作品 ,0.0,0.0,195.97993146568137,0.0,0.0,0.017543859649122785
971,人物 体育人物 ,中国大学 组织机构 ,0.0,0.0,219.16030100278783,0.0,0.0,0.03601108033240995
972,人物 体育人物 ,体育人物 运动员 ,0.8649425287356322,15.87387331514099,9407.213106182102,0.8649425287356322,0.8655647895476721,0.0012674271229404107
973,人物 体育人物 ,人物 演员 ,0.008620689655172414,0.16787312450644906,177.35901001848836,0.008620689655172414,0.008890497499341933,0.03048327137546466
974,人物 体育人物 ,电子游戏 游戏 ,0.0,0.0,168.11291224686084,0.0,0.0,0.09520062942564912
975,人物 体育人物 ,美术家 画家 ,0.0014367816091954023,0.029228308493281268,180.4035834453196,0.0014367816091954023,0.0015158389704669198,0.05219364599092281
976,人物 体育人物 ,游戏作品 游戏 ,0.0,0.0,159.87792150645606,0.0,0.0,0.1216760676873489
977,人物 体育人物 ,电子游戏 游戏作品 ,0.0,0.0,152.61945997405115,0.0,0.0,0.14662273476112025
978,人物 体育人物 ,出版物 期刊 ,0.0,0.0,179.6591910625654,0.0,0.0,0.06097560975609753
979,人物 体育人物 ,人物 运动员 ,0.8649425287356322,18.26546681129634,10918.685594637273,0.8649425287356322,0.9308156352287431,0.13180515759312314
980,人物 体育人物 ,学校 外国大学 ,0.0,0.0,160.4213393136326,0.0,0.0,0.11987127916331457
981,人物 体育人物 ,人物 美术家 ,0.005747126436781609,0.12951342350026399,156.50908085447827,0.005747126436781609,0.006407132122984444,0.10333863275039741
982,人物 体育人物 ,音乐 单曲 ,0.0,0.0,148.91255804175452,0.0,0.0,0.15999999999999995
983,人物 体育人物 ,flash游戏 游戏作品 ,0.0,0.0,144.983684523699,0.0,0.0,0.17468354430379746
984,人物 体育人物 ,flash游戏 游戏 ,0.0,0.0,144.983684523699,0.0,0.0,0.17468354430379746
985,人物 体育人物 ,组织机构 外国大学 ,0.0,0.0,151.29112942209386,0.0,0.0,0.1513647642679901
986,人物 体育人物 ,音乐作品 单曲 ,0.0,0.0,144.46317211083115,0.0,0.0,0.17666948436179203
987,人物 体育人物 ,电子游戏 flash游戏 ,0.0,0.0,140.58429422594457,0.0,0.0,0.1917808219178082
988,人物 体育人物 ,医生 中医 ,0.0,0.0,122.33143499489434,0.0,0.0,0.27123287671232876
989,人物 体育人物 ,足球运动员 体育人物 ,0.564655172413793,15.004534841954023,5683.690246853125,0.564655172413793,0.6917025862068965,0.27586206896551724
990,人物 体育人物 ,人物 学者 ,0.0028735632183908046,0.08464734145629263,126.13885042481127,0.0028735632183908046,0.003746250431366303,0.2333629103815439
991,人物 体育人物 ,学者 科学家 ,0.0014367816091954023,0.042129079138591624,128.8738943426576,0.0014367816091954023,0.001867816091954023,0.23097345132743363
992,人物 体育人物 ,人物 官员 ,0.008620689655172414,0.25277447483154974,118.60771141440304,0.008620689655172414,0.011206896551724138,0.232
993,电子游戏 游戏 ,学校 组织机构 ,0.0,0.0,351.81265706432515,0.0,0.0,0.371584699453552
994,电子游戏 游戏 ,公司 组织 ,0.0,0.0,211.40575775202566,0.0,0.0,0.19184820801124383
995,电子游戏 游戏 ,学校 中国大学 ,0.0,0.0,232.96803089391724,0.0,0.0,0.22973878097789682
996,电子游戏 游戏 ,人物 政治人物 ,0.0,0.0,215.93877598854962,0.0,0.0,0.200278164116829
997,电子游戏 游戏 ,人物 科学家 ,0.0,0.0,192.30778079201772,0.0,0.0,0.15316642120765836
998,电子游戏 游戏 ,人物 画家 ,0.0,0.0,169.73189189590528,0.0,0.0,0.09945184025058734
999,电子游戏 游戏 ,音乐 音乐作品 ,0.0,0.0,161.70984703230138,0.0,0.0,0.07778668805132322
1000,电子游戏 游戏 ,中国大学 组织机构 ,0.0,0.0,182.38763632407608,0.0,0.0,0.1307634164777022
1001,电子游戏 游戏 ,体育人物 运动员 ,0.0,0.0,167.84379195293405,0.0,0.0,0.09448818897637798
1002,电子游戏 游戏 ,人物 演员 ,0.0,0.0,157.24459468170284,0.0,0.0,0.06504065040650411
1003,电子游戏 游戏 ,人物 体育人物 ,0.0,0.0,168.11291224686084,0.0,0.0,0.09520062942564912
1004,电子游戏 游戏 ,美术家 画家 ,0.0,0.0,150.01633706122124,0.0,0.0,0.04326123128119805
1005,电子游戏 游戏 ,游戏作品 游戏 ,0.9008695652173914,21.083653769445554,10848.664100096858,0.9008695652173914,0.9256641404068608,0.04983388704318932
1006,电子游戏 游戏 ,电子游戏 游戏作品 ,0.9008695652173914,22.182608695652174,11442.171812331322,0.9008695652173914,0.9504347826086956,0.09913043478260866
1007,电子游戏 游戏 ,出版物 期刊 ,0.0,0.0,147.2194599406897,0.0,0.0,0.0344248530646516
1008,电子游戏 游戏 ,人物 运动员 ,0.0,0.0,144.19573848314556,0.0,0.0,0.024597116200169696
1009,电子游戏 游戏 ,学校 外国大学 ,0.0,0.0,130.2211966782125,0.0,0.0,0.024955436720142603
1010,电子游戏 游戏 ,人物 美术家 ,0.0,0.0,134.80841770171259,0.0,0.0,0.007887817703768576
1011,电子游戏 游戏 ,音乐 单曲 ,0.0,0.0,120.09947215863491,0.0,0.0,0.0658016682113067
1012,电子游戏 游戏 ,flash游戏 游戏作品 ,0.8208695652173914,21.411434160220505,10011.691509285847,0.8208695652173914,0.8930523695207612,0.1452702702702702
1013,电子游戏 游戏 ,flash游戏 游戏 ,0.8208695652173914,21.411434160220505,10011.691509285847,0.8208695652173914,0.8930523695207612,0.1452702702702702
1014,电子游戏 游戏 ,组织机构 外国大学 ,0.0,0.0,122.18827298226851,0.0,0.0,0.056985294117647044
1015,电子游戏 游戏 ,音乐作品 单曲 ,0.0,0.0,116.19664918489806,0.0,0.0,0.08286252354048956
1016,电子游戏 游戏 ,电子游戏 flash游戏 ,0.8208695652173914,22.182608695652174,10391.213215203321,0.8208695652173914,0.9104347826086957,0.17913043478260862
